Teams,Avg Pos,Avg Spend
Arsenal,4.363636364,130.5527273
Aston Villa,12,113.66875
Bournemouth,13.125,79.075
Brighton,12.125,99.005
Burnley,15,39.045
Chelsea,4.818181818,240.25
Crystal Palace,12.27272727,50.99454545
Everton,11.63636364,80.54545455
Leicester,9.9,73.466
Liverpool,3.545454545,114.7981818
Man City,1.818181818,187.5754545
Man Utd,5.454545455,180.0318182
Newcastle,10.8,90.963
Southampton,13.5,78.796
Spurs,5.818181818,119.8390909
Watford,15.5,59.375
West Ham,10.81818182,93.96454545
Wolves,11.42857143,108.1857143
